Fiscal Year,Grant Type,Organization,Project,Amount,Location,Strategic Priority,Strategic Results,TOTAL # SERVED,# NH SERVED,GrantStatusId
2015,Ahahui,Kauakoko Foundation,Nani Wale 'O Uluhaimalama commemoration and planting,5090,Oahu,Culture,Value History and Culture,,,1
2015,Ahahui,Ke Hoola o Lima Lani,Ke Alaula a Kane III,3610,Kauai,Health,Improve Family Lifestyle,,,1
2014,Ahahui,Komike Makua Punana Leo o Honolulu,Makahiki Maoli Festival 2013,9500,Oahu,Culture,Participate in Culture,,,1
2014,Ahahui,Koolauloa Commmunity Health and Wellness Center,Koolauloa Health Center Fair,3000,Oahu,Health,Decrease Chronic Disease Rates,,,1
2014,Ahahui,Kuaaina Ulu Auamo ,E Alu Pu: Honoring our Kupuna,8000,Molokai,Land & Water,Achieve Pae Aina Sustainability,,,1
2015,Ahahui,Kuaaina Ulu Auamo ,Living Limu Traditions: Limu Practitioner Mini-Gathering,3000,Oahu,Land & Water,Achieve Pae Aina Sustainability,,,1
2014,Ahahui,Kula No Na Poe Hawaii,Papakolea Ohana Health Fair 2014 - Ua lehu a mano ka ‘ikena a nā Hawai’i o Papakolea,5300,Oahu,Health,Decrease Chronic Disease Rates,,,1
2015,Ahahui,Kula No Na Poe Hawaii,`Eleu Mikimiki -- Papakolea Ohana Health Fair 2015,6000,Oahu,Health,Improve Family Lifestyle,,,1
2014,Ahahui,Laiopua 2020,5th Prince Kuhio Ho'olaule'a,6210,Hawaii,Land & Water,Achieve Pae Aina Sustainability,,,1
2015,Ahahui,Laiopua 2020,Homestead & Nation Building,5500,Hawaii,Health,Improve Family Lifestyle,,,1
2015,Ahahui,Laiopua 2020,6th Prince Kuhio Ho'olaulea,5500,Hawaii,Health,Improve Family Lifestyle,,,1
2013,Ahahui,"Making Dreams Come True, Valley of Rainbows",Youth Leadership Conference,10000,Oahu,Education,Exceed Education Standards,,,1
2014,Ahahui,"Making Dreams Come True, Valley of Rainbows",Youth Leadership Conferences,7000,Oahu,Education,Exceed Education Standards,,,1
2015,Ahahui,"Making Dreams Come True, Valley of Rainbows",Youth Leadership Conferences - We're Going to College,8000,Oahu,Education,Exceed Education Standards,,,1
2014,Ahahui,Malie Foundation,Ka Aha Hula O Halauaola World Conference 2014,10000,Kauai,Culture,Participate in Culture,,,1
2015,Ahahui,Maui Historical Society,Lei Day Heritage Festival,5000,Maui,Culture,Value History and Culture,,,1
2013,Ahahui,Maui Native Hawaiian Chamber of Commerce,Annual Business Fest,5000,Maui,Culture,Value History and Culture,,,1
2014,Ahahui,Maui Native Hawaiian Chamber of Commerce,"Maui Native Hawaiian Chamber of Commerce, Annual Business Fest",5000,Maui,Culture,Value History and Culture,,,1
2014,Ahahui,Maui Nui Botanical Gardens Inc.,Ola Ka Honua 2014,9990,Maui,Land & Water,Achieve Pae Aina Sustainability,,,1
2014,Ahahui,"Moanalua Gardens Foundation, Inc.","Huakai o Kamananui, the 36th Annual Prince Lot Hula Festival",10000,Oahu,Culture,Value History and Culture,,,1
2015,Ahahui,"Moanalua Gardens Foundation, Inc.",37th Annual Prince Lot Hula Festival,10000,Oahu,Culture,Value History and Culture,,,1
2013,Ahahui,Moana's Hula Halau,Festival of Aloha - Moloka‘i,5000,Molokai,Culture,Value History and Culture,,,1
2014,Ahahui,Moana's Hula Halau,Festivals of Aloha - Molokai:  ALOHA The Essence of Hawaii,4000,Molokai,Culture,Value History and Culture,,,1
2015,Ahahui,Moana's Hula Halau,Festivals of Aloha - Maui Nui Style,6500,Molokai,Culture,Value History and Culture,,,1
2013,Ahahui,Na Kalai Waa,Malama Makalii Ocean Festival,5000,Hawaii,Culture,Participate in Culture,,,1
2015,Ahahui,Na Wahine O Ke Kai,Na Wahine O Ke Kai Women's Annual Molokai to Oahu Canoe Race,4000,Multiple,Culture,Participate in Culture,,,1
2014,Ahahui,Naalehu Theatre,Gabby Pahinui Waimanalo Kanikapila,9000,Oahu,Culture,Value History and Culture,,,1
2015,Ahahui,Naalehu Theatre,Gabby Pahinui Waimanalo Kanikapila,8000,Oahu,Culture,Value History and Culture,,,1
2014,Ahahui,National Tropical Botanical Garden,The Breadfruit Festival Takes Root,7000,Kauai,Land & Water,Achieve Pae Aina Sustainability,,,1
2015,Ahahui,North Kohala Community Resource Center,Kamehameha Day Celebration in Kohala,5000,Hawaii,Culture,Value History and Culture,,,1
2013,Ahahui,Pacific American Foundation,Children and Youth Day,10000,Oahu,Health,Improve Family Lifestyle,,,1
2013,Ahahui,PA'I Foundation,Molokai Ka Hula Piko,10000,Molokai,Culture,Value History and Culture,,,1
2013,Ahahui,PA'I Foundation,Nana I Ke Kumu,3000,Oahu,Culture,Value History and Culture,,,1
2014,Ahahui,PA'I Foundation,PA'I Kakaako Native Hawaiian Art Fest,10000,Oahu,Culture,Participate in Culture,,,1
2014,Ahahui,PA'I Foundation,MAMo Wearable Art Show,6600,Oahu,Culture,Value History and Culture,,,1
2015,Ahahui,PA'I Foundation,2nd Annual Kaka'ako Arts & Music Fest,7000,Oahu,Culture,Participate in Culture,,,1
2013,Ahahui,Papakolea Community Development Corporation,Papakolea ‘Ohana Health Fair,10000,Oahu,Health,Decrease Chronic Disease Rates,,,1
2014,Ahahui,Project Vision Hawaii,Project Vision Health & Wellness Screenings,4000,Hawaii,Health,Decrease Chronic Disease Rates,,,1
2015,Ahahui,Project Vision Hawaii,Better Vision for the Keiki and Kupuna,7400,Molokai,Education,Exceed Education Standards,,,1
2015,Ahahui,Puuhonua Society,CONTACT 2015 art exhibit,5500,Oahu,Culture,Value History and Culture,,,1
2013,Ahahui,"Tri-Isle Resource Conservation & Development Council, Inc","Festival of Aloha, Maui Nui Style",5000,Maui,Culture,Value History and Culture,,,1
2014,Ahahui,"Tri-Isle Resource Conservation & Development Council, Inc","Festivals of Aloha, Maui Nui Style!",4000,Maui,Culture,Value History and Culture,,,1
2015,Ahahui,"Tri-Isle Resource Conservation & Development Council, Inc","Festivals of Aloha, Maui Nui Style!",6000,Maui,Culture,Value History and Culture,,,1
2013,Ahahui,Univeristy of Hawaii - Office of Research Services,Pa‘ahao Awareness and Advocacy Event,5000,Oahu,Culture,Value History and Culture,,,1
2013,Ahahui,Univeristy of Hawaii - Office of Research Services,TEDxManoa,5000,Oahu,Culture,Value History and Culture,,,1
2014,Ahahui,University of Hawaii - Office of Research Services,TEDxManoa,5500,Oahu,Culture,Value History and Culture,,,1
2013,Ahahui,University of Hawaii Foundation,‘Imiloa Wayfinding Festival,10000,Hawaii,Culture,Value History and Culture,,,1
2015,Ahahui,University of Hawaii Foundation,Ho'okele Na'auao - A Hawaiian Librarianship Symposium,8000,Oahu,Education,Exceed Education Standards,,,1
2015,Ahahui,Waianae Coast Comprehensive Health Center,Women's Health Day Event,1000,Oahu,Health,Improve Family Lifestyle,,,1
2013,Ahahui,"Waianae District Comprehensive Health & Hospital Board, Inc.",West O‘ahu Health and Wellness Fair:  Improving the Health of Our Community,3000,Oahu,Health,Decrease Chronic Disease Rates,,,1
2013,Ahahui,Waimanalo Health Center,Waimanalo Community Wellness Fair,10000,Oahu,Health,Decrease Chronic Disease Rates,,,1
2015,Ahahui,Women Helping Women,Ho'ohuli: Transformation Through Culture conference,5000,Maui,Culture,Value History and Culture,,,1
2013,Ahahui,YMCA of Honolulu,Healthy Kids Day,10000,Oahu,Health,Improve Family Lifestyle,,,1
2014,Ahahui,YMCA of Honolulu,YMCA Healthy Kids Day - E Ola Na Keiki,8000,Oahu,Health,Improve Family Lifestyle,,,1
2015,Ahahui,YMCA of Honolulu,YMCA Healthy Kids Day - E Ola Na Keiki,8000,Oahu,Health,Improve Family Lifestyle,,,1
2015,BOT Initiative,Consuelo Zobel Alger Foundation,To support the Molokai Childhood Sexual Abuse Prevention Pathway pilot program,90000,Molokai,Health,Improve Family Lifestyle,,,2
2014,BOT Initiative,Department of Labor and Industrial Relations,To support the Prisoner Reintegration Program,250000,Statewide,Economic Self-Sufficiency,Increase Family Income,,,2
2015,BOT Initiative,Department of Labor and Industrial Relations,To support the Prisoner Reintegration Program,250000,Statewide,Economic Self-Sufficiency,Increase Family Income,,,2
2014,Community Grant,Goodwill Industries of Hawaii ,To support enrolled students in HIDOE system by offering tutoring and remediation in math and reading after school hours.   (Year 1 of 2),125000,Hawaii,Education,Exceed Education Standards,,,2
2015,Community Grant,Goodwill Industries of Hawaii ,To support enrolled students in HIDOE system by offering tutoring and remediation in math and reading after school hours.   (Year 2 of 2),125000,Hawaii,Education,Exceed Education Standards,,,2
2014,Community Grant,Habitat for Humanity West Hawaii ,To construct affordable homes for qualified Native Hawaiian families in West Hawaii.  (Year 1 of 2),89000,Hawaii,Economic Self-Sufficiency,Build Stability in Housing,,,2
2015,Community Grant,Habitat for Humanity West Hawaii ,To construct affordable homes for qualified Native Hawaiian families in West Hawaii.  (Year 2 of 2),204455,Hawaii,Economic Self-Sufficiency,Build Stability in Housing,,,2
2015,Community Grant,Hawaiian Community Assets,To assist homeless Native Hawaiians secure affordable rental housing through matched funding.   (Year 2 of 2),24550,Statewide,Economic Self-Sufficiency,Build Stability in Housing,,,2
2014,Community Grant,Hawaiian Community Assets ,To assist homeless Native Hawaiians secure affordable rental housing through matched funding.  (Year 1 of 2),224095,Statewide,Economic Self-Sufficiency,Build Stability in Housing,,,2
2014,Community Grant,Hui Aloha Kiholo ,To gather and promote the culture and history of Kiholo and increase the cultural proficiency among Hawaiians in practices that are particularly significant to that place.  (Year 1 of 2),39452,Hawaii,Culture,Participate in Culture,,,2
2015,Community Grant,Hui Aloha Kiholo ,To gather and promote the culture and history of Kiholo and increase the cultural proficiency among Hawaiians in practices that are particularly significant to that place.  (Year 2 of 2),6575,Hawaii,Culture,Participate in Culture,,,2
2014,Community Grant,Kakoo Oiwi ,"To support ""Mahuahua Ai o Hoi"" to restore agricultural and ecological productivity within the wetlands of Heeia for cultural and community uses.   (Year 1 of 2)",180000,Oahu,Land & Water,Achieve Pae Aina Sustainability,,,2
2015,Community Grant,Kakoo Oiwi ,"To support ""Mahuahua Ai o Hoi"" to restore agricultural and ecological productivity within the wetlands of Heeia for cultural and community uses.  (Year 2 of 2)",88000,Oahu,Land & Water,Achieve Pae Aina Sustainability,,,2
2014,Community Grant,Kauai Community College ,"The project will provide industry-driven, customized training packages to help low-income Native Hawaiians qualify for high-demand jobs on Kauai in technical, health care and agricultural fields.  (Year 1 of 2)",150000,Kauai,Economic Self-Sufficiency,Increase Family Income,,,2
2015,Community Grant,Kauai Community College ,"The project will provide industry-driven, customized training packages to help low-income Native Hawaiians qualify for high-demand jobs on Kauai in technical, health care and agricultural fields. (Year 2 of 2)",100000,Kauai,Economic Self-Sufficiency,Increase Family Income,,,2
2014,Community Grant,Kuaaina Ulu Auamo ,"To support ""Hui Malama Loko Ia Project"", a consortium of statewide fishponds and practitioners to increase restoration work and build capacity towards food self-sufficiency.  (Year 1 of 2)",114327,Statewide,Land & Water,Achieve Pae Aina Sustainability,,,2
2015,Community Grant,Kuaaina Ulu Auamo ,"To support ""Hui Malama Loko Ia Project"", a consortium of statewide fishponds and practitioners to increase restoration work and build capacity towards food self-sufficiency. (Year 2 of 2)",114327,Statewide,Land & Water,Achieve Pae Aina Sustainability,,,2
2014,BOT Initiative,Living Life Source Foundation,To support the Malama Perinatal Program to encourage positive pregnanacy outcoumes and decrease health disparities in perinatal outcomes.,200000,Hawaii,Health,Improve Family Lifestyle,,,2
2014,Community Grant,"Molokai Habitat for Humanity, Inc. ",To construct affordable homes for qualified Native Hawaiian families on Molokai.  (Year 1 of 2),142785,Molokai,Economic Self-Sufficiency,Build Stability in Housing,,,2
2015,Community Grant,"Molokai Habitat for Humanity, Inc. ",To construct affordable homes for qualified Native Hawaiian families on Molokai.  (Year 2 of 2),147215,Molokai,Economic Self-Sufficiency,Build Stability in Housing,,,2
2015,BOT Initiative,Native Hawaiian Legal Corporation,To support services to the community.,135804,Statewide,Governance,Priority Level,,,2
2014,Community Grant,Native Nations Education Foundation ,"To provide a comprehensive high school diploma program and career and education pathway assistance and support into job opportunities, vocational training and two-year college tracks.  (Year 1 of 2)",120000,Hawaii,Economic Self-Sufficiency,Increase Family Income,,,2
2015,Community Grant,Native Nations Education Foundation ,"To provide a comprehensive high school diploma program and career and education pathway assistance and support into job opportunities, vocational training and two-year college tracks. (Year 2 of 2)",80000,Hawaii,Economic Self-Sufficiency,Increase Family Income,,,2
2014,Community Grant,North Hawaii Community Hospital,"To provide preconception care, prenatal care, labor/delivery services, and post-partum care.  (Year 1 of 2)",103800,Hawaii,Health,Improve Family Lifestyle,,,2
2015,Community Grant,North Hawaii Community Hospital,"To provide preconception care, prenatal care, labor/delivery services, and post-partum care. (Year 2 of 2)",102968,Hawaii,Health,Improve Family Lifestyle,,,2
2015,BOT Initiative,University of Hawaii - Office of Research Services,On behalf of the Myron B. Thompson School of Social Work to continue support of the Hawaiian Learning Program (3 years),218855,Oahu,Education,Exceed Education Standards,,,2
2015,BOT Initiative,University of Hawaii at Hilo,"To support the Na Pua Noeau Program to provide educational experiences in Hawaiian culture, language, and history.",896232,Statewide,Education,Exceed Education Standards,,,2
2015,Ahahui,Hawai‘i Maoli,Ke Ola i ka La`au Lapa`au: There is life in the plants,8800,Oahu,Culture,Value History and Culture,,,1
2014,BOT Initiative,Univeristy of Hawaii - Office of Research Services,To support the OHA Higher Education Scholarships program through Liko A'e.,187000,Statewide,Education,Exceed Education Standards,,,1
2013,BOT Initiative,Chaminade University of Honolulu,Scholarships for Native Hawaiian students enrolled in the nursing program (Year 1 of 4),30000,Oahu,Education,Exceed Education Standards,6,6,1
2015,BOT Initiative,Chaminade University of Honolulu,Scholarships for Native Hawaiian students enrolled in the nursing program  (Year 3 of 4),33000,Oahu,Education,Exceed Education Standards,6,6,1
2015,BOT Initiative,Akamai Foundation,"To conduct nation building activities including an election, convention, and ratification.",2598000,Statewide,Governance,Priority Level,,,2
2015,Sponsorship,Hawai‘i Maoli,On behalf of Hawaii Ponoi coalition to support Onipaa,15000,Oahu,Culture,Value History and Culture,,,1
2015,Sponsorship,Council for Native Hawaiian Advancement (CNHA),Annual Native Hawaiian Convention,25000,Oahu,Governance,Priority Level,,,1
2015,Sponsorship,Hawai‘i Maoli,Annual Association of Hawaiian Civic Clubs Convention,25000,Oahu,Governance,Priority Level,,,1
2015,Sponsorship,Waianae Kai Hawaiian Homestead Association,Annual Sovereign Councils of the Hawaiian Homelands Assembly (SCHHA) Convention,25000,Oahu,Economic Self-Sufficiency,Build Stability in Housing,,,1
2016,BOT Initiative,Hawaii Community Foundation,To support the OHA Higher Education Scholarships program.,250000,Statewide,Education,Exceed Education Standards,,,2
2016,Sponsorship,Hiipaka,Waimea Valley Summer Concert Series,10000,Oahu,Culture,Value History and Culture,,,1
2016,BOT Initiative,Kanu O Ka Aina Learning Ohana,To support Hawaiian-focused charter schools,1500000,Statewide,Education,Exceed Education Standards,,,2
2016,Ahahui,Na Wahine O Ke Kai,Na Wahine O Ke Kai Women's Annual Molokai to Oahu Canoe Race,6000,Multiple,Culture,Value History and Culture,1500,,1
2016,Ahahui,YMCA of Honolulu,YMCA Healthy Kids Day - E Ola Na Keiki,7000,Oahu,Health,Improve Family Lifestyle,5392,,1
2016,Community Grant,Edith Kanakaole Foundation,"The purpose of this project is to rebuild and restore the Hula Heiau at Imakakoloa, Kau along with the ritual dances, chants, and vocabulary necessary for this work so that hula practitioners and their families from Hawaii and around the world will participate fully in this process from start to finish and beyond as a part of their Hula execution.",150000,Hawaii,Culture,Participate in Culture,,,2
2016,Community Grant,Hui Malama Ola Na Oiwi,"The purpose of this project is to provide Traditional Native Hawaiian Healing Art Education to Native Hawaiians throughout the communities of Hawai`i Island to perpetuate and develop strategies that expand the knowledge, respect and practical application of La`au Lapa`au, Lomilomi Ha Ha, La`au Kahea and Ho`oponopono.",64343,Hawaii,Culture,Participate in Culture,,,2
2016,Community Grant,Kanehunamoku Voyaging Academy,"The purpose of this project is to provide opportunities to Oahu youth to learn about and experience traditional Hawaiian navigation, and the dynamic and complex cycles of plant based resource management and skilled materials preparation used by ancient navigators to prepare for long distance voyages.",150000,Oahu,Culture,Participate in Culture,,,2
2016,Community Grant,Kohe Malamalama o Kanaloa - Protect Kahoolawe Fund,"I Ola Kanaloa will strengthen the cultural identity and engagement of Native Hawaiian  haumana, hui, and ʻohana on Hawaiʻi, Maui, Molokaʻi, Oʻahu & Kauaʻi by providing them the opportunity to connect with, honor and care for the ʻāina & cultural sites; revitalize cultural relationships; & learn cultural practices & protocols through Kahoʻolawe.",67400,Statewide,Culture,Participate in Culture,,,2
2016,Community Grant,Kula No Na Poe Hawaii,"This program creates a cadre of cultural practitioners with knowledge and proficiency in the carving of papa and pōhaku kuʻi ʻai using traditional materials and methods. They will teach their community members how to make their own implements and will coordinate monthly gatherings to pound poi, thereby perpetuating a valued cultural practice.",20000,Oahu,Culture,Participate in Culture,,,2
2016,Community Grant,PA'I Foundation,"MAMo: Maoli Arts Month is a broad community-based effort to celebrate the depth, breadth, and diversity of the Native Hawaiian arts community, to create economic opportunities for Native Hawaiian artists and cultural practitioners by increasing their presence in museums and galleries, and to educate locals and visitors about Native Hawaiian art.",48257,Statewide,Culture,Participate in Culture,,,2
2016,BOT Initiative,The Estria Foundation,Mele Murals project,226500,Statewide,Culture,Value History and Culture,,,2
2016,Ahahui,"Aha Punana Leo, Inc.",Pūlama Mauli Ola,7000,Hawaii,Culture,Value History and Culture,2000,,1
2016,Ahahui,Ahahui Kiwila Hawaii O Moikeha,Ka Moku O Manokalanipō Pa'ani Makahiki,5000,Kauai,Culture,Value History and Culture,,,1
2016,Ahahui,East Maui Taro Festival,24th Annual East Maui Taro Festival,7000,Maui,Culture,Value History and Culture,4000,,1
2016,Ahahui,Friends of the Future,Waipi‘o Kalo Festival,5000,Hawaii,Culture,Value History and Culture,800,,1
2016,Ahahui,Hawaii Book and Music Festival,Alana Hawaiian Culture Program at the 2016 Hawaiʻi Book & Music Festival ,7000,Oahu,Culture,Value History and Culture,750,,1
2016,Ahahui,Hawaiian Canoe Racing Association,2015 HCRA State Championship Canoe Regatta,8000,Hawaii,Culture,Value History and Culture,6000,,1
2016,Ahahui,Hawaiian Kamalii Inc.,The Pailolo Challenge,6000,Molokai,Culture,Value History and Culture,1584,,1
2016,Ahahui,Institute for Native Pacific Education and Culture,Hoʻi I Ke Ēwe ʻĀina Kūpuna,6500,Hawaii,Culture,Value History and Culture,71,,1
2016,Ahahui,"Ka Molokai Makahiki, Inc.",Ka Molokaʻi Makahiki 2016,7000,Molokai,Culture,Participate in Culture,3000,,1
2016,Ahahui,"Kai Loa, Inc.",Makahiki Kuilima 2016,7000,Oahu,Culture,Participate in Culture,1000,,1
2016,Ahahui,"Kalihi-Palama Culture and Arts Society, Inc.",Malia Craver Hula Kahiko Competition,5000,Oahu,Culture,Value History and Culture,935,,1
2016,Ahahui,Maui Historical Society,Lei Day Heritage Festival 2016,7000,Maui,Culture,Value History and Culture,550,,1
2016,Ahahui,Maui Native Hawaiian Chamber of Commerce,Maui Native Hawaiian Chamber of Commerce Presents 9th Annual Business Fest,8000,Maui,Culture,Value History and Culture,300,,1
2016,Ahahui,"Moanalua Gardens Foundation, Inc.","Moanalua, He Wahi Pana, the 38th Annual Prince Lot Hula Festival ",10000,Oahu,Culture,Value History and Culture,24000,,1
2016,Ahahui,Moana's Hula Halau,"Festivals of Aloha - Maui Nui Style:  ""Ola ke kaiaulu i ke aloha o loko""",6000,Molokai,Culture,Value History and Culture,700,,1
2016,Ahahui,Naalehu Theatre,9th Annual Gabby Pahinui Waimānalo Kanikapila,6000,Oahu,Culture,Value History and Culture,3000,,1
2016,Ahahui,North Kohala Community Resource Center,North Kohala Community Reunion 2015,6000,Hawaii,Culture,Value History and Culture,2000,,1
2016,Ahahui,Puuhonua Society,CONTACT 2016 art exhibit,5000,Oahu,Culture,Value History and Culture,4500,,1
2016,Ahahui,"Uhane Pohaku Na Moku O Hawaii, Inc.",Ho'okupu Hula No Ka'u Cultural Festival,2300,Hawaii,Culture,Value History and Culture,500,,1
2016,Ahahui,University of Hawaii - Leeward Community College,"Huli Aku, Huli Mai: Contemproray Traditional Practices",6500,Oahu,Culture,Value History and Culture,,,1
2016,Ahahui,Young Women's Christian Association of Oahu,Kokokahi Community Fair,5000,Oahu,Culture,Value History and Culture,849,,1
2016,Community Grant,After School All-Stars,"These out-of-school programs in two Oahu (Nanakuli and Waianae) and three Hawai'i island (Kau, Keaau, and Pahoa) Title 1 middle and intermediate schools  operate at school sites  to provide comprehensive after-school programs to improve proficiency in Reading and Math, as evidenced by Hawaii State Assessment (HSA) test scores.  This program provides an alternative to risky after-school activities, offers fun, social learning activities, and improves students' ability to advance to the next grade level.   ",236975,Multiple,Education,Exceed Education Standards,,,2
2016,Community Grant,Boys and Girls Club of Maui,"The Power Hour Program provides a safe and nurturing environment for middle and high school youth to develop good study habits and where they can complete homework assignments, with the goal of improving Native Hawaiian student proficiency in Reading and Math so that they can increase standardized test scores.",184000,Maui,Education,Exceed Education Standards,,,2
2016,Community Grant,Educational Services Hawaii Foundation,"The Imi Ike Learning Centers target at-risk Native Hawaiians, currently or formerly in foster, kith, kin care, in grades 4 to 12 by engaging them in academic and socio-emotional program, differentiated direct instruction and Hawaiian culture-based pedagogy, and meeting their multiple needs so they can meet or exceed standard-based testings in reading and math. ",89030,Oahu,Education,Exceed Education Standards,,,2
2016,Community Grant,Hui Malama Learning Center,"Hui Malama Learning Center addresses the complex educational and social needs of at-risk youth ( those with emotional, cognitive, social, physical or behavioral issues, and lack fundamental literacy skills) at aged 11-24 by providing holistic and integrated educational services to improve reading and math proficiency and  increase  standardized test scores. ",219995,Maui,Education,Exceed Education Standards,,,2
2016,BOT Initiative,Chaminade University of Honolulu,To support scholarships for Native Hawaiian nursing students.,33000,Oahu,Education,Exceed Education Standards,,,2
2016,BOT Initiative,University of Hawaii Foundation,To support the Senator Daniel Akaka Scholarship Endowment,100000,Statewide,Education,Exceed Education Standards,,,2
2016,BOT Initiative,Univeristy of Hawaii - Office of Research Services,To support the OHA Higher Education Scholarships program through the Native Hawaiian Science and Engineering Mentorship Program.,250000,Statewide,Education,Exceed Education Standards,,,2
2016,Community Grant,Boys and Girls Club of Hawai'i,The Hua Ola Project will strengthen health for Native Hawaiian and other Club members by skillfully instilling healthy lifelong fitness and diet habits in the youth of 3 Boys & Girls Club of the Big Island communities through culturally responsive minds- and bodies-involved experiential healthy lifestyles education delivered by caring Club mentors.,115000,Hawaii,Health,Decrease Chronic Disease Rates,,,2
2016,Community Grant,I Ola Lahui,"The Kūlana Hawaiʻi project will provide comprehensive, culturally-minded weight and chronic disease management services to Native Hawaiian adults and their families to increase their engagement in healthy lifestyle behaviors such as dietary habits, physical activity, medication adherence, stress management, and reduce high risk behaviors such as smoking.",180000,Oahu,Health,Decrease Chronic Disease Rates,,,2
2016,Community Grant,Kokua Kalihi Valley Comprehensive Family Services,"The Ehuola ʻOhana Health Project will foster health from the first breath through the last, preventing chronic disease through a conceptual framework of nā‘au, ‘āina and kai, kanaka, mauli and ola. Native Hawaiian keiki, mākua, wahine hāpai and their kane will learn cultural practices supporting nutrition and birthing, reclaiming a legacy of health.",143000,Oahu,Health,Decrease Chronic Disease Rates,,,2
2016,Community Grant,Kualapuu Public Conversion Charter School,"The Project Pū‘olo will work to reduce the rate of childhood obesity in students in grades K-6 and empower students and families in making positive health choices through a school-based initiative that integrates physical activity, health and nutrition education, and family engagement with in-school student support and clinical health services.",135256,Molokai,Health,Decrease Chronic Disease Rates,,,2
2016,Community Grant,Salvation Army-Family Treatment Services,"The Ola Kino Maikaʻi project will provide women in residential substance abuse treatment, and their children, obesity prevention and intervention to prevent excessive weight gain while women are engaged in smoking cessation and learning to live a drug free lifestyle and to prevent feeding practices that could result in obesity in their children.",112000,Oahu,Health,Decrease Chronic Disease Rates,,,2
2016,Community Grant,The Queen's Medical Center,"The Hana Ola Project will implement a culturally relevant, community-based program based on health and nutrition education, and physical activity to reduce the incidence and severity of obesity among Native Hawaiians, in order to improve their overall well-being, and reduce the burden of cardiovascular disease risk factors.",190000,Maui,Health,Decrease Chronic Disease Rates,,,2
2016,BOT Initiative,"Kauai Food Bank, Inc.","To implement the ""Backpack Program"" at Hawaiian focused charter schools on Kauai",38000,Kauai,Health,Improve Family Lifestyle,,,2
2016,BOT Initiative,Lunalilo Home,To complete building and infrastructure repairs to the existing Lunalilo Home facilites to maintain an environment of safety and comfort for residents.,597468,Oahu,Health,Improve Family Lifestyle,,,2
2016,Ahahui,Kula No Na Poe Hawaii,Ho`okahi Palekana -- Papakolea Ohana Health Fair 2016,7000,Oahu,Health,Improve Family Lifestyle,450,,1
2016,Ahahui,"Maui Family Support Services, Inc.",Na Makua Kane: Celebration of Fathers,6500,Maui,Health,Improve Family Lifestyle,300,,1
2016,Community Grant,Hawaiian Community Assets,"Increasing Economic Self-Sufficiency of NHs through Stable Housing will provide financial literacy education, housing couseling, and asset building products to 500 low-income NHs to rent or own homes.",265059,Statewide,Economic Self-Sufficiency,Build Stability in Housing,,,2
2016,Community Grant,"Effective Planning Innovative Communication, Inc. (DBA Epic Ohana)",Hawai'i Youth Opportunities Initiative Opportunity Passport provides financial literacy training and matching funds for security deposit/first month's rent for young people through age 25 who were in foster care.  ,16675,Statewide,Economic Self-Sufficiency,Build Stability in Housing,,,2
2016,Community Grant,Council for Native Hawaiian Advancement (CNHA),"Hawaii Individual Development Account will provide financial education, counseling, and match savings grants up to $5,000 to eligible NH first-time home buyers in Hawaii to support 40 new homeowners by addressing barriers to homeownership.",174390,Statewide,Economic Self-Sufficiency,Build Stability in Housing,,,2
2016,BOT Initiative,Department of Hawaiian Home Lands,To cover debt service on bonds issued by DHHL that will be used to establish infrastructure support for Native Hawaiian affordable housing opportunities.,3000000,Statewide,Economic Self-Sufficiency,Build Stability in Housing,,,2
2016,Community Grant,Parents and Children Together,"Ready to Work and Career Support Serviceswill increase the incomes of NHs by delivering services that promote employability and job retention including job preparation training, vocational and 2-year degree scholarships, and high school equivalancy preparation.",261500,Oahu,Economic Self-Sufficiency,Increase Family Income,,,2
2016,Community Grant,Goodwill Industries of Hawaii ,"Employment Core and Career Support Services for NHs will improve their ability to obtain higher-wage employment, thereby increasing their economic self-sufficiency.",221550,Hawaii,Economic Self-Sufficiency,Increase Family Income,,,2
2016,Community Grant,University of Hawaii on behalf of Maui College,"CareerLink will provide support services, financial literacy and employment readiness workshops, GED preparation, scholarships, and employment opportunities to NHs in Maui County.",175000,Maui,Economic Self-Sufficiency,Increase Family Income,,,2
2016,Ahahui,Hawaii Construction Career Days,Big Island Construction Career Day,10000,Hawaii,Economic Self-Sufficiency,Increase Family Income,700,,1
2016,Ahahui,Hawaii First Community Ventures,Ohana First at Hawaii First,6500,Hawaii,Economic Self-Sufficiency,Increase Family Income,152,,1
2016,Community Grant,Ka Honua Momona International,The purpose of this project is to return momona (health and abundance) to the land and people of Molokai through the community-based restoration of two ancient Hawaiian fishponds.,100000,Molokai,Land & Water,Achieve Pae Aina Sustainability,,,2
2016,Community Grant,Kakoo Oiwi,"The purpose of this project is to restore and effectively manage ecologically and geographically linked kipuka within Heʻeia, increasing the capacity and resilience of ecological and food-producing systems in our ahupuaʻa for the benefit of Hawaiians and other community members on Oʻahu.",121700,Oahu,Land & Water,Achieve Pae Aina Sustainability,,,2
2016,Community Grant,Kokua Kalihi Valley Comprehensive Family Services ,The purpose of this project is to restore the health of the Kalihi ‘ahupuaʻa by promoting cultural practices for kamaʻāina (residents) and malihini (visitors) to ultimately improve the health of the Māluawai watershed thereby ensuring its long-term sustainability.,100000,Oahu,Land & Water,Achieve Pae Aina Sustainability,,,2
